ID,Species,Height (m),Location Zone,Leaf Type,Flower Color,Growth Habit,Drought Resistance,Watering Frequency,Ideal Climatic Zone
776,Lilium candidum,6.42,Zonas costeras del Mediterráneo,Ovalada,Naranja,Arbóreo,Alta,4,Tropical
777,Rosa canina,9.56,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Trepador,Baja,0,Boreal
778,Rosa canina,29.03,Sabana Africana,Pinnada,Naranja,Rastrero,Baja,6,Mediterráneo
779,Pinus sylvestris,28.94,Sabana Africana,Lanceolada,Violeta,Arbustivo,Baja,4,Boreal
780,Populus alba,25.83,Zonas montañosas,Acicular,Rosa,Herbáceo,Alta,5,Templado
781,Populus alba,27.91,Zonas montañosas,Lobulada,Roja,Rastrero,Baja,4,Tropical
782,Ficus carica,21.94,Desiertos de América Latina,Palmeada,Roja,Herbáceo,Baja,6,Desértico
783,Eucalyptus globulus,10.45,Bosques boreales,Espinosa,Amarilla,Rastrero,Alta,5,Tropical
784,Salvia officinalis,14.15,Bosques de Europa,Espinosa,Blanca,Arbóreo,Media,6,Templado
785,Lilium candidum,7.67,Bosques de Europa,Lobulada,Sin flor visible,Trepador,Media,1,Templado
786,Quercus robur,36.38,Selva Amazónica,Lobulada,Naranja,Herbáceo,Baja,0,Templado
787,Populus alba,23.54,Bosques de Europa,Espinosa,Sin flor visible,Rastrero,Media,6,Templado
788,Ficus carica,16.33,Bosques de Europa,Palmeada,Amarilla,Trepador,Media,6,Mediterráneo
789,Ficus carica,18.75,Bosques boreales,Acicular,Amarilla,Herbáceo,Media,1,Desértico
790,Pinus sylvestris,37.92,Altiplano Andino,Espinosa,Naranja,Arbustivo,Media,2,Templado
791,Lilium candidum,6.56,Zonas montañosas,Lobulada,Blanca,Rastrero,Baja,1,Templado
792,Betula pendula,23.66,Zonas montañosas,Lanceolada,Naranja,Arbustivo,Media,5,Boreal
793,Salvia officinalis,20.48,Áreas rurales de Europa,Ovalada,Naranja,Arbóreo,Media,1,Desértico
794,Eucalyptus globulus,24.65,Bosques de Europa,Palmeada,Violeta,Arbustivo,Alta,1,Tropical
795,Cactaceae echinopsis,1.22,Bosques boreales,Pinnada,Blanca,Arbustivo,Baja,0,Desértico
796,Pinus sylvestris,34.95,Zonas montañosas,Palmeada,Roja,Rastrero,Alta,1,Desértico
797,Salvia officinalis,37.32,Bosques boreales,Lanceolada,Violeta,Arbóreo,Alta,6,Desértico
798,Cactaceae echinopsis,22.82,Áreas templadas de Asia,Lanceolada,Rosa,Arbustivo,Baja,0,Templado
799,Cactaceae echinopsis,28.02,Altiplano Andino,Pinnada,Blanca,Trepador,Media,3,Templado
800,Lilium candidum,36.94,Bosques de Europa,Lobulada,Amarilla,Herbáceo,Alta,2,Mediterráneo
801,Lilium candidum,28.44,Áreas rurales de Europa,Espinosa,Violeta,Arbustivo,Baja,0,Tropical
802,Quercus robur,6.53,Selva Amazónica,Acicular,Blanca,Arbóreo,Media,5,Boreal
803,Ficus carica,23.26,Zonas montañosas,Palmeada,Sin flor visible,Arbustivo,Baja,3,Desértico
804,Salvia officinalis,24.47,Áreas templadas de Asia,Pinnada,Naranja,Herbáceo,Alta,0,Tropical
805,Pinus sylvestris,17.25,Bosques boreales,Palmeada,Rosa,Arbóreo,Media,0,Tropical
806,Rosa canina,29.59,Sabana Africana,Lanceolada,Roja,Rastrero,Media,2,Mediterráneo
807,Pinus sylvestris,37.41,Zonas costeras del Mediterráneo,Espinosa,Naranja,Arbóreo,Baja,6,Boreal
808,Quercus robur,37.06,Bosques de Europa,Palmeada,Sin flor visible,Rastrero,Media,5,Desértico
809,Eucalyptus globulus,18.31,Bosques de Europa,Acicular,Sin flor visible,Arbóreo,Alta,4,Boreal
810,Ficus carica,4.97,Áreas templadas de Asia,Lanceolada,Rosa,Herbáceo,Alta,4,Mediterráneo
811,Rosa canina,39.4,Bosques boreales,Acicular,Roja,Herbáceo,Alta,0,Templado
812,Populus alba,33.64,Desiertos de América Latina,Espinosa,Amarilla,Arbóreo,Baja,1,Tropical
813,Eucalyptus globulus,5.42,Bosques de Europa,Palmeada,Violeta,Arbustivo,Media,5,Desértico
814,Lilium candidum,36.87,Desiertos de América Latina,Ovalada,Roja,Herbáceo,Media,3,Templado
815,Cactaceae echinopsis,34.86,Sabana Africana,Palmeada,Blanca,Rastrero,Media,1,Mediterráneo
816,Populus alba,20.99,Áreas templadas de Asia,Espinosa,Sin flor visible,Rastrero,Alta,1,Boreal
817,Pinus sylvestris,23.86,Bosques boreales,Palmeada,Blanca,Trepador,Media,5,Tropical
818,Pinus sylvestris,16.26,Bosques boreales,Pinnada,Amarilla,Rastrero,Alta,6,Desértico
819,Lilium candidum,2.66,Altiplano Andino,Palmeada,Blanca,Trepador,Media,0,Templado
820,Quercus robur,13.74,Zonas costeras del Mediterráneo,Lobulada,Roja,Arbóreo,Alta,0,Templado
821,Salvia officinalis,32.21,Zonas montañosas,Palmeada,Blanca,Arbóreo,Media,0,Tropical
822,Populus alba,0.68,Zonas montañosas,Palmeada,Amarilla,Arbóreo,Baja,0,Boreal
823,Populus alba,13.67,Selva Amazónica,Acicular,Amarilla,Arbustivo,Baja,4,Mediterráneo
824,Betula pendula,16.23,Áreas rurales de Europa,Ovalada,Amarilla,Arbustivo,Alta,0,Boreal
825,Eucalyptus globulus,21.73,Áreas templadas de Asia,Acicular,Roja,Trepador,Alta,4,Boreal
826,Ficus carica,36.83,Sabana Africana,Acicular,Amarilla,Rastrero,Media,4,Boreal
827,Eucalyptus globulus,14.18,Bosques boreales,Lanceolada,Sin flor visible,Rastrero,Media,6,Tropical
828,Salvia officinalis,14.2,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbóreo,Baja,0,Tropical
829,Pinus sylvestris,29.63,Desiertos de América Latina,Acicular,Amarilla,Herbáceo,Media,2,Mediterráneo
830,Pinus sylvestris,18.36,Áreas templadas de Asia,Pinnada,Blanca,Arbustivo,Alta,3,Boreal
831,Pinus sylvestris,9.37,Selva Amazónica,Espinosa,Violeta,Arbustivo,Alta,1,Tropical
832,Betula pendula,18.37,Áreas templadas de Asia,Pinnada,Blanca,Arbóreo,Alta,4,Mediterráneo
833,Pinus sylvestris,6.06,Selva Amazónica,Espinosa,Violeta,Arbustivo,Alta,5,Mediterráneo
834,Salvia officinalis,7.47,Bosques boreales,Palmeada,Blanca,Arbóreo,Alta,5,Boreal
835,Lilium candidum,20.19,Áreas rurales de Europa,Lanceolada,Roja,Trepador,Baja,3,Desértico
836,Ficus carica,17.05,Selva Amazónica,Lobulada,Blanca,Rastrero,Baja,5,Boreal
837,Salvia officinalis,36.64,Bosques boreales,Pinnada,Roja,Herbáceo,Alta,2,Desértico
838,Ficus carica,14.81,Bosques boreales,Lobulada,Roja,Rastrero,Media,5,Mediterráneo
839,Salvia officinalis,23.43,Áreas rurales de Europa,Pinnada,Amarilla,Rastrero,Alta,1,Tropical
840,Pinus sylvestris,25.47,Zonas montañosas,Palmeada,Sin flor visible,Trepador,Baja,1,Templado
841,Lilium candidum,1.02,Áreas templadas de Asia,Espinosa,Violeta,Arbustivo,Alta,4,Mediterráneo
842,Populus alba,26.71,Bosques de Europa,Ovalada,Amarilla,Herbáceo,Baja,0,Tropical
843,Eucalyptus globulus,7.53,Bosques de Europa,Lanceolada,Amarilla,Arbustivo,Baja,6,Mediterráneo
844,Cactaceae echinopsis,38.46,Desiertos de América Latina,Pinnada,Naranja,Rastrero,Alta,2,Boreal
845,Lilium candidum,6.37,Desiertos de América Latina,Pinnada,Roja,Arbóreo,Alta,4,Desértico
846,Populus alba,16.88,Bosques de Europa,Palmeada,Roja,Rastrero,Media,2,Mediterráneo
847,Quercus robur,3.87,Sabana Africana,Lanceolada,Violeta,Arbustivo,Baja,0,Tropical
848,Salvia officinalis,39.88,Bosques de Europa,Espinosa,Blanca,Rastrero,Media,5,Boreal
849,Quercus robur,20.34,Desiertos de América Latina,Espinosa,Blanca,Arbóreo,Alta,5,Templado
850,Populus alba,24.02,Zonas costeras del Mediterráneo,Pinnada,Amarilla,Trepador,Baja,6,Boreal
851,Lilium candidum,3.15,Desiertos de América Latina,Ovalada,Rosa,Arbustivo,Media,0,Desértico
852,Salvia officinalis,30.12,Sabana Africana,Ovalada,Rosa,Rastrero,Media,4,Boreal
853,Cactaceae echinopsis,8.79,Áreas templadas de Asia,Lobulada,Blanca,Arbustivo,Media,6,Templado
854,Pinus sylvestris,35.97,Bosques de Europa,Lanceolada,Rosa,Trepador,Alta,0,Tropical
855,Salvia officinalis,8.6,Áreas rurales de Europa,Lanceolada,Naranja,Rastrero,Alta,3,Mediterráneo
856,Salvia officinalis,8.03,Zonas costeras del Mediterráneo,Espinosa,Blanca,Rastrero,Alta,1,Desértico
857,Lilium candidum,1.94,Bosques boreales,Lobulada,Roja,Arbustivo,Baja,6,Templado
858,Lilium candidum,19.15,Sabana Africana,Palmeada,Amarilla,Arbustivo,Alta,6,Desértico
859,Populus alba,22.81,Desiertos de América Latina,Lanceolada,Sin flor visible,Arbóreo,Baja,4,Boreal
860,Rosa canina,3.1,Áreas rurales de Europa,Lobulada,Amarilla,Trepador,Media,2,Desértico
861,Salvia officinalis,31.13,Selva Amazónica,Lobulada,Blanca,Arbóreo,Media,3,Templado
862,Eucalyptus globulus,18.4,Zonas montañosas,Pinnada,Naranja,Rastrero,Alta,4,Mediterráneo
863,Salvia officinalis,21.21,Bosques de Europa,Espinosa,Blanca,Arbustivo,Media,0,Mediterráneo
864,Populus alba,17.91,Zonas montañosas,Lobulada,Amarilla,Rastrero,Alta,0,Desértico
865,Ficus carica,16.33,Sabana Africana,Ovalada,Naranja,Rastrero,Baja,0,Tropical
866,Quercus robur,22.61,Selva Amazónica,Ovalada,Naranja,Herbáceo,Media,0,Desértico
867,Pinus sylvestris,6.63,Selva Amazónica,Acicular,Naranja,Herbáceo,Alta,2,Boreal
868,Rosa canina,7.69,Selva Amazónica,Espinosa,Violeta,Rastrero,Media,3,Mediterráneo
869,Cactaceae echinopsis,34.54,Bosques boreales,Pinnada,Blanca,Arbustivo,Media,5,Mediterráneo
870,Cactaceae echinopsis,37.87,Sabana Africana,Palmeada,Rosa,Rastrero,Alta,1,Mediterráneo
871,Cactaceae echinopsis,15.25,Áreas templadas de Asia,Acicular,Rosa,Herbáceo,Media,2,Tropical
872,Lilium candidum,11.19,Zonas montañosas,Ovalada,Blanca,Arbustivo,Media,2,Tropical
873,Cactaceae echinopsis,25.94,Áreas templadas de Asia,Pinnada,Blanca,Rastrero,Media,5,Templado
874,Pinus sylvestris,16.64,Áreas rurales de Europa,Acicular,Violeta,Trepador,Media,5,Desértico
875,Quercus robur,1.5,Altiplano Andino,Espinosa,Rosa,Trepador,Baja,1,Desértico
876,Cactaceae echinopsis,6.67,Zonas costeras del Mediterráneo,Pinnada,Blanca,Rastrero,Media,1,Boreal
877,Salvia officinalis,28.78,Zonas costeras del Mediterráneo,Espinosa,Blanca,Arbustivo,Media,5,Mediterráneo
878,Salvia officinalis,26.53,Áreas templadas de Asia,Lobulada,Violeta,Rastrero,Alta,0,Tropical
879,Lilium candidum,1.57,Altiplano Andino,Lanceolada,Violeta,Rastrero,Baja,2,Boreal
880,Pinus sylvestris,9.27,Altiplano Andino,Lobulada,Amarilla,Herbáceo,Alta,4,Boreal
881,Quercus robur,9.63,Bosques de Europa,Espinosa,Violeta,Trepador,Alta,1,Tropical
882,Rosa canina,27.04,Áreas rurales de Europa,Pinnada,Sin flor visible,Herbáceo,Alta,1,Desértico
883,Populus alba,1.28,Sabana Africana,Ovalada,Rosa,Herbáceo,Baja,5,Mediterráneo
884,Quercus robur,4.61,Altiplano Andino,Palmeada,Amarilla,Rastrero,Alta,3,Desértico
885,Populus alba,32.1,Desiertos de América Latina,Ovalada,Sin flor visible,Herbáceo,Alta,4,Boreal
886,Ficus carica,7.55,Zonas costeras del Mediterráneo,Pinnada,Blanca,Trepador,Alta,4,Mediterráneo
887,Populus alba,26.28,Desiertos de América Latina,Lobulada,Blanca,Herbáceo,Media,1,Templado
888,Eucalyptus globulus,9.91,Áreas rurales de Europa,Palmeada,Amarilla,Trepador,Alta,0,Boreal
889,Salvia officinalis,4.43,Altiplano Andino,Pinnada,Violeta,Herbáceo,Baja,3,Desértico
890,Pinus sylvestris,10.11,Zonas montañosas,Espinosa,Naranja,Trepador,Baja,4,Desértico
891,Betula pendula,29.03,Zonas costeras del Mediterráneo,Ovalada,Naranja,Herbáceo,Media,1,Desértico
892,Lilium candidum,34.3,Bosques de Europa,Espinosa,Blanca,Herbáceo,Baja,4,Tropical
893,Eucalyptus globulus,33.29,Bosques de Europa,Palmeada,Naranja,Arbustivo,Baja,6,Boreal
894,Populus alba,16.19,Selva Amazónica,Palmeada,Roja,Trepador,Media,3,Mediterráneo
895,Cactaceae echinopsis,26.89,Bosques boreales,Ovalada,Amarilla,Trepador,Alta,3,Desértico
896,Pinus sylvestris,8.6,Altiplano Andino,Espinosa,Sin flor visible,Trepador,Media,6,Desértico
897,Eucalyptus globulus,12.08,Áreas rurales de Europa,Acicular,Amarilla,Arbóreo,Alta,2,Tropical
898,Lilium candidum,35.91,Zonas costeras del Mediterráneo,Espinosa,Rosa,Herbáceo,Alta,6,Mediterráneo
899,Salvia officinalis,1.01,Bosques boreales,Palmeada,Violeta,Trepador,Baja,5,Boreal
900,Pinus sylvestris,3.88,Áreas rurales de Europa,Espinosa,Violeta,Arbóreo,Media,5,Templado
901,Lilium candidum,8.71,Áreas templadas de Asia,Pinnada,Amarilla,Arbustivo,Baja,1,Tropical
902,Ficus carica,1.55,Altiplano Andino,Lobulada,Blanca,Trepador,Baja,3,Boreal
903,Ficus carica,7.67,Sabana Africana,Acicular,Blanca,Trepador,Alta,2,Templado
904,Lilium candidum,23.53,Sabana Africana,Lanceolada,Roja,Arbóreo,Baja,2,Desértico
905,Eucalyptus globulus,17.15,Altiplano Andino,Pinnada,Roja,Herbáceo,Media,4,Desértico
906,Pinus sylvestris,35.76,Selva Amazónica,Lobulada,Violeta,Arbustivo,Baja,4,Mediterráneo
907,Eucalyptus globulus,32.79,Selva Amazónica,Lanceolada,Roja,Trepador,Baja,6,Templado
908,Rosa canina,14.0,Sabana Africana,Ovalada,Sin flor visible,Herbáceo,Alta,2,Desértico
909,Populus alba,10.75,Zonas montañosas,Lanceolada,Roja,Arbustivo,Media,6,Desértico
910,Rosa canina,15.5,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Rastrero,Baja,6,Mediterráneo
911,Ficus carica,23.82,Sabana Africana,Espinosa,Roja,Rastrero,Alta,4,Boreal
912,Salvia officinalis,11.09,Zonas montañosas,Pinnada,Violeta,Arbustivo,Baja,3,Desértico
913,Quercus robur,25.15,Bosques boreales,Lanceolada,Violeta,Arbóreo,Media,6,Tropical
914,Populus alba,16.67,Zonas montañosas,Palmeada,Sin flor visible,Arbustivo,Baja,0,Tropical
915,Ficus carica,22.31,Bosques boreales,Lobulada,Amarilla,Arbustivo,Baja,3,Boreal
916,Eucalyptus globulus,17.73,Áreas rurales de Europa,Lobulada,Violeta,Arbóreo,Alta,2,Templado
917,Eucalyptus globulus,12.13,Desiertos de América Latina,Lanceolada,Amarilla,Arbóreo,Baja,2,Mediterráneo
918,Eucalyptus globulus,37.96,Áreas rurales de Europa,Lobulada,Blanca,Herbáceo,Alta,6,Tropical
919,Salvia officinalis,30.66,Sabana Africana,Palmeada,Sin flor visible,Herbáceo,Media,3,Tropical
920,Rosa canina,6.03,Bosques boreales,Pinnada,Naranja,Arbóreo,Baja,4,Boreal
921,Quercus robur,34.8,Sabana Africana,Lobulada,Violeta,Rastrero,Media,4,Templado
922,Eucalyptus globulus,19.75,Altiplano Andino,Lanceolada,Rosa,Rastrero,Media,5,Templado
923,Betula pendula,35.83,Zonas costeras del Mediterráneo,Acicular,Blanca,Arbustivo,Baja,2,Boreal
924,Populus alba,32.09,Bosques de Europa,Acicular,Amarilla,Trepador,Alta,1,Tropical
925,Pinus sylvestris,17.3,Sabana Africana,Ovalada,Violeta,Arbustivo,Media,5,Mediterráneo
926,Betula pendula,1.39,Zonas costeras del Mediterráneo,Lobulada,Sin flor visible,Arbustivo,Media,4,Tropical
927,Quercus robur,11.11,Zonas montañosas,Pinnada,Naranja,Trepador,Baja,3,Templado
928,Salvia officinalis,21.89,Áreas rurales de Europa,Lanceolada,Roja,Arbóreo,Baja,4,Tropical
929,Quercus robur,25.52,Zonas montañosas,Lobulada,Naranja,Rastrero,Baja,3,Mediterráneo
930,Pinus sylvestris,10.69,Bosques de Europa,Espinosa,Rosa,Arbustivo,Baja,5,Desértico
931,Populus alba,6.0,Bosques boreales,Palmeada,Amarilla,Trepador,Baja,2,Tropical
932,Pinus sylvestris,33.48,Altiplano Andino,Lobulada,Blanca,Herbáceo,Baja,4,Boreal
933,Lilium candidum,39.38,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbustivo,Alta,6,Desértico
934,Populus alba,21.26,Altiplano Andino,Acicular,Sin flor visible,Rastrero,Media,3,Boreal
935,Quercus robur,7.28,Desiertos de América Latina,Palmeada,Rosa,Arbóreo,Alta,2,Boreal
936,Eucalyptus globulus,11.26,Sabana Africana,Lanceolada,Sin flor visible,Arbustivo,Alta,1,Boreal
937,Quercus robur,1.23,Bosques boreales,Lobulada,Violeta,Arbustivo,Baja,3,Tropical
938,Quercus robur,36.61,Desiertos de América Latina,Acicular,Roja,Trepador,Media,5,Templado
939,Populus alba,5.15,Áreas templadas de Asia,Ovalada,Blanca,Herbáceo,Alta,1,Desértico
940,Lilium candidum,23.27,Sabana Africana,Palmeada,Sin flor visible,Herbáceo,Baja,1,Mediterráneo
941,Quercus robur,11.33,Zonas montañosas,Acicular,Amarilla,Arbóreo,Baja,0,Templado
942,Betula pendula,22.39,Áreas rurales de Europa,Acicular,Violeta,Rastrero,Media,4,Tropical
943,Ficus carica,26.23,Zonas costeras del Mediterráneo,Pinnada,Violeta,Arbóreo,Alta,3,Boreal
944,Cactaceae echinopsis,33.27,Bosques de Europa,Acicular,Blanca,Arbustivo,Alta,1,Mediterráneo
945,Cactaceae echinopsis,8.65,Bosques de Europa,Pinnada,Violeta,Arbustivo,Alta,0,Desértico
946,Quercus robur,0.93,Zonas montañosas,Lobulada,Amarilla,Herbáceo,Baja,5,Templado
947,Betula pendula,5.91,Selva Amazónica,Lobulada,Sin flor visible,Rastrero,Media,2,Templado
948,Eucalyptus globulus,36.05,Bosques de Europa,Ovalada,Blanca,Trepador,Media,6,Mediterráneo
949,Salvia officinalis,35.02,Zonas costeras del Mediterráneo,Espinosa,Violeta,Rastrero,Alta,6,Tropical
950,Salvia officinalis,24.1,Zonas montañosas,Espinosa,Violeta,Arbustivo,Baja,3,Desértico
951,Populus alba,24.22,Bosques boreales,Espinosa,Amarilla,Trepador,Alta,1,Mediterráneo
952,Cactaceae echinopsis,26.77,Bosques de Europa,Pinnada,Roja,Rastrero,Media,6,Boreal
953,Quercus robur,7.43,Altiplano Andino,Palmeada,Roja,Rastrero,Baja,4,Desértico
954,Salvia officinalis,36.62,Zonas montañosas,Palmeada,Naranja,Trepador,Alta,6,Templado
955,Quercus robur,17.04,Zonas costeras del Mediterráneo,Ovalada,Violeta,Arbustivo,Alta,6,Mediterráneo
956,Populus alba,15.63,Altiplano Andino,Palmeada,Sin flor visible,Rastrero,Baja,6,Templado
957,Cactaceae echinopsis,21.0,Sabana Africana,Espinosa,Blanca,Trepador,Media,0,Templado
958,Pinus sylvestris,2.36,Sabana Africana,Espinosa,Violeta,Arbustivo,Baja,1,Templado
959,Ficus carica,7.07,Bosques de Europa,Acicular,Rosa,Trepador,Alta,4,Tropical
960,Ficus carica,29.65,Altiplano Andino,Palmeada,Blanca,Trepador,Alta,1,Templado
961,Salvia officinalis,3.77,Áreas rurales de Europa,Lobulada,Naranja,Rastrero,Alta,3,Boreal
962,Ficus carica,24.32,Sabana Africana,Lobulada,Roja,Arbustivo,Alta,3,Boreal
963,Pinus sylvestris,10.19,Áreas rurales de Europa,Acicular,Violeta,Rastrero,Media,3,Desértico
964,Quercus robur,15.88,Bosques boreales,Acicular,Amarilla,Arbóreo,Media,5,Templado
965,Populus alba,11.9,Zonas montañosas,Acicular,Rosa,Arbóreo,Alta,6,Templado
966,Pinus sylvestris,14.55,Desiertos de América Latina,Lobulada,Violeta,Arbustivo,Media,5,Mediterráneo
967,Populus alba,28.9,Zonas costeras del Mediterráneo,Espinosa,Naranja,Trepador,Media,0,Tropical
968,Populus alba,12.24,Zonas montañosas,Acicular,Sin flor visible,Rastrero,Media,3,Desértico
969,Cactaceae echinopsis,22.87,Zonas costeras del Mediterráneo,Ovalada,Rosa,Rastrero,Alta,4,Templado
970,Quercus robur,19.3,Altiplano Andino,Pinnada,Naranja,Arbustivo,Baja,1,Mediterráneo
971,Betula pendula,26.72,Bosques boreales,Acicular,Violeta,Arbustivo,Baja,6,Tropical
972,Ficus carica,37.5,Áreas templadas de Asia,Pinnada,Sin flor visible,Arbóreo,Baja,2,Desértico
973,Betula pendula,29.44,Bosques de Europa,Lanceolada,Rosa,Herbáceo,Alta,4,Desértico
974,Cactaceae echinopsis,8.99,Zonas costeras del Mediterráneo,Acicular,Sin flor visible,Arbustivo,Media,6,Templado
975,Populus alba,1.73,Zonas costeras del Mediterráneo,Lobulada,Sin flor visible,Herbáceo,Media,5,Desértico
976,Salvia officinalis,10.86,Altiplano Andino,Palmeada,Rosa,Arbustivo,Alta,5,Mediterráneo
977,Ficus carica,24.01,Áreas rurales de Europa,Acicular,Rosa,Trepador,Alta,4,Desértico
978,Ficus carica,2.53,Zonas montañosas,Palmeada,Sin flor visible,Trepador,Baja,5,Boreal
979,Quercus robur,20.11,Áreas templadas de Asia,Lanceolada,Naranja,Arbóreo,Baja,3,Mediterráneo
980,Lilium candidum,24.08,Selva Amazónica,Ovalada,Roja,Arbóreo,Alta,0,Tropical
981,Rosa canina,13.7,Bosques de Europa,Palmeada,Rosa,Herbáceo,Baja,1,Tropical
982,Rosa canina,30.95,Desiertos de América Latina,Pinnada,Violeta,Arbustivo,Media,0,Templado
983,Rosa canina,4.71,Selva Amazónica,Espinosa,Blanca,Rastrero,Alta,6,Templado
984,Lilium candidum,3.47,Zonas montañosas,Acicular,Amarilla,Arbóreo,Alta,1,Boreal
985,Quercus robur,29.26,Bosques de Europa,Lanceolada,Sin flor visible,Rastrero,Media,1,Tropical
986,Lilium candidum,20.07,Zonas costeras del Mediterráneo,Lanceolada,Sin flor visible,Rastrero,Media,0,Tropical
987,Rosa canina,27.69,Desiertos de América Latina,Palmeada,Amarilla,Arbustivo,Media,4,Tropical
988,Cactaceae echinopsis,17.68,Áreas rurales de Europa,Ovalada,Roja,Herbáceo,Baja,1,Tropical
989,Pinus sylvestris,10.23,Áreas templadas de Asia,Lobulada,Amarilla,Arbustivo,Alta,0,Desértico
990,Populus alba,32.85,Áreas rurales de Europa,Acicular,Rosa,Arbóreo,Baja,1,Mediterráneo
991,Lilium candidum,32.08,Bosques boreales,Lanceolada,Amarilla,Rastrero,Media,2,Mediterráneo
992,Quercus robur,27.94,Altiplano Andino,Ovalada,Sin flor visible,Arbustivo,Baja,4,Boreal
993,Quercus robur,11.25,Bosques de Europa,Espinosa,Amarilla,Arbustivo,Media,3,Desértico
994,Betula pendula,23.81,Áreas rurales de Europa,Lanceolada,Blanca,Arbustivo,Baja,1,Tropical
995,Pinus sylvestris,14.76,Selva Amazónica,Ovalada,Violeta,Arbóreo,Baja,2,Tropical
996,Salvia officinalis,4.12,Altiplano Andino,Lobulada,Rosa,Herbáceo,Media,3,Templado
997,Ficus carica,36.73,Áreas rurales de Europa,Lobulada,Amarilla,Arbustivo,Baja,3,Templado
998,Rosa canina,5.9,Sabana Africana,Lanceolada,Sin flor visible,Arbóreo,Alta,6,Boreal
999,Salvia officinalis,38.03,Bosques boreales,Pinnada,Naranja,Rastrero,Baja,1,Tropical
1000,Betula pendula,18.12,Zonas montañosas,Lanceolada,Violeta,Trepador,Baja,0,Boreal
